What_is_your_gender,What_is_your_level_of_education,How_familiar_are_you_with_using_AI_chatbots,What_task_did_you_attempt_to_complete_using_ChatGPT__eg_Assignment_Research_Calculation_etc,Were_you_able_to_successfully_complete_your_task_using_ChatGPT,How_easy_was_it_to_interact_with_ChatGPT,Was_ChatGPT_able_to_understand_your_questions_or_prompts_accurately,How_effectively_did_ChatGPT_provide_solutions_or_answers_to_your_queries,Did_ChatGPT_save_you_time_in_completing_your_tasks,How_would_you_rate_ChatGPTs_reliability_in_delivering_consistent_responses,Would_you_use_ChatGPT_again_for_similar_tasks,How_engaging_did_you_find_the_interaction_with_ChatGPT,Did_ChatGPTs_responses_feel_natural_and_humanlike,Did_ChatGPTs_responses_evoke_any_emotional_reaction_eg_frustration_delight_confusionShort_answer,How_enjoyable_was_your_experience_with_ChatGPT,Would_you_recommend_ChatGPT_to_others_based_on_your_experience,What_did_you_like_most_about_ChatGPT,What_did_you_dislike_or_find_frustrating_about_ChatGPT,On_a_scale_of_1_to_5_how_would_you_rate_ChatGPT_overall,What_suggestions_do_you_have_for_improving_ChatGPT
Male,Postgraduate,5,Research work,1.0,1,"Yes, completely",,,,,5,Met expectations,Delight and sometimes confusion,N/A,N/A,Response ,N/A,N/A,Irrelevant information somerime
Male,Secondary School,2,code,1.0,5,"Yes, completely",,,,,4,Exceeded expectations,delight,N/A,N/A,allucinate,N/A,N/A,too wordy
Male,Postgraduate,2,Research ,1.0,1,"Yes, completely",,,5.0,,4,Neutral,Short answer delight ,4.0,Definitely,I like it's depth in knowledge ,It can not reason on it own ,4.0,Improve it interactive 
Female,Undergraduate,3,Research ,1.0,3,"Yes, completely",,,2.0,,3,Neutral,Joy,4.0,Neutral,N/A,N/A,3.0,Yes
Female,Undergraduate,5,Assignments,1.0,2,"Yes, partially",,,4.0,,3,Neutral,"Sometimes, it amused me",4.0,Probably,N/A,N/A,4.0,It needs to start accepting images and generating images as well
Female,Undergraduate,3,"Assignment, calculation",1.0,3,"Yes, partially",,,3.0,,3,Most of the time,Yes,3.0,Probably,Ability to have answers to any question and being able to interact with it,N/A,3.0,N/A
Female,Undergraduate,5,"Assignment, research ",1.0,3,"Yes, completely",,,3.0,,4,Neutral,Delight ,3.0,Definitely,It's speed in answering questions ,Some inaccuracies ,3.0,Better results 
Male,Undergraduate,4,everything,1.0,1,"Yes, partially",,,4.0,,3,Most of the time,no,4.0,Probably,alot,nothing,5.0,.
Female,Undergraduate,1,research,1.0,5,"Yes, partially",,,5.0,,5,A;ways,delight,5.0,Definitely,it gave me accurate answers,N/A,5.0,be able to post images and answer them
Male,Undergraduate,5,I have used it for several things usually research and educational purposes and it always delivered wonderfully i rate it (5/5),1.0,1,"Yes, completely",,,5.0,,5,A;ways,"having a session with chatgpt always results in emotions for me, i always feel delighted as its like talking with an experienced professor of computer science who is motivating and kind hearted",5.0,Definitely,"Several things but i'll start from its unique understanding of how to talk to people and hold conversations, its ability to use analogies to break down complex concepts, its ability to make you feel good and motivate you",Nothing at all,5.0,Theres nothing i can think of
Male,Undergraduate,4,Research,,4,"Yes, completely",,,4.0,,4,Neutral,Delight,4.0,Definitely,Not bad,Certain inabilities ,4.0,More interactive 
Male,Undergraduate,4,research,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,confusion,3.0,Definitely,it's easy to use,it's not humane,4.0,more humane responses
Female,Undergraduate,5,"Assignment, research ",1.0,4,"Yes, partially",,,5.0,,4,Neutral,Frustration sometimes,4.0,Definitely,Its makes doing my work so much easier,When it doesnt give me exactly what i want,4.0,Understanding the subtext in questions asked would be much better
Male,Undergraduate,4,An Online test ,1.0,4,"Yes, completely",,,5.0,,4,Most of the time,no,4.0,Definitely,Quick responses ,limited slot to upload  pictures,4.0,N/A
Male,Undergraduate,5,"Assignment, Calculation, code, etc.",1.0,4,"Yes, partially",,,4.0,,4,Most of the time,No,4.0,Probably,It's fast,it's not human like,4.0,??
Female,Undergraduate,1,Assignment,1.0,1,"Yes, partially",,,3.0,,3,Neutral,delight,3.0,Probably,N/A,N/A,4.0,none
Male,Undergraduate,3,Research,,3,"Yes, partially",,,3.0,,3,Neutral,delight,3.0,Definitely,Answer,late,3.0,quick
Male,Undergraduate,3,assignment and research,1.0,1,"Yes, partially",,,4.0,,4,Neutral,confusion,4.0,Definitely,N/A,N/A,4.0,make answers clear
Female,Undergraduate,5,Research,,1,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,It's ability to relate with you on a personal level if needed and it's ability to ask which response you prefer,Some of it's results are not reliable,4.0,ChatGpt should be able to clearly define how it came about some answers
Female,Undergraduate,5,Assignments ,,4,"Yes, partially",,,4.0,,4,Rarely,Nope,3.0,Definitely,Quick responses and the ability to gibe multiple answers ,Sometimes it doesn't give me what i ask for ,4.0,Non
Male,Undergraduate,5,research,1.0,4,"Yes, completely",,,5.0,,5,Neutral,delight,4.0,Definitely,reliability,N/A,4.0,nothing
Female,Undergraduate,5,Assignment,1.0,1,"Yes, partially",,,4.0,,4,Most of the time,Confusion,4.0,Probably,Ability to answer and solve question accurately ,Confusion,4.0,Ability to make students think and not fully depend on ChatGPT
Male,Undergraduate,3,research,1.0,3,"Yes, partially",,,4.0,,4,Neutral,not really,3.0,Neutral,it's accuracy,it's minor limitation in getting question,4.0,can't explain right now
Male,Undergraduate,3,Coding Projects and Resarch and more,,4,"Yes, partially",,,3.0,,3,Neutral,delight,2.0,Definitely,the response,the act that it gave me my answers in hallusination,3.0,avoid AI halluication
Male,Undergraduate,3,A lot,1.0,1,"Yes, completely",,,4.0,,4,Most of the time, no,4.0,Definitely,learnability,no,4.0,free for all
Male,Undergraduate,4,"Assignments, Test, personnel development ",1.0,5,"Yes, completely",,,5.0,,3,Rarely,Not really ,4.0,Definitely,"Response, voice chat",N/A,5.0,Better ui
Male;Female,Undergraduate,4,"Assignments, Programming, and so many other things",1.0,4,"Yes, partially",,,4.0,,4,Most of the time,"yes, delight",4.0,Definitely,Interaction. vocal communication,It's inaccuracies sometimes,4.0,refine the data given to it and give it more refined and verified data.. It will help its accuracy
Male,Undergraduate,3,assignment,1.0,3,"Yes, completely",,,4.0,,3,Most of the time,not really,3.0,Definitely,sharing extra information regarding a task,nothing really,4.0,nothing
Male,Undergraduate,4,Assignment,1.0,1,"Yes, completely",,,3.0,,4,Most of the time,no,4.0,Probably,very easy to understand,sometimes it does not give correct answer,4.0,nothing
Male,Undergraduate,5,Research ,1.0,1,"Yes, completely",,,3.0,,4,Neutral,Nope,4.0,Definitely,Ability to answer immediately with extra thoughts,N/A,4.0,No idea
Male,Undergraduate,4,Research,1.0,2,"Yes, partially",,,4.0,,4,Neutral,Delight,5.0,Definitely,Everything,Nothing ,5.0,Voice text should be created 
Male,Undergraduate,5,Everything,1.0,1,"Yes, completely",,,5.0,,5,Neutral,No,4.0,Definitely,"That it has most of the answers I need, and gives good feedback ",No nigh-perfect humanlike response,4.0,"Make it more human like, give it emmotions"
Male,Undergraduate,2,Research ,,3,"Yes, partially",,,3.0,,3,Rarely,Just there,3.0,Neutral,The speed of its answer ,The fact that they are wrong sometimes ,3.0,The answers should be more accurate 
Male,Undergraduate,4,"Assignment, Coding,Calculation ",1.0,3,"Yes, partially",,,3.0,,4,Neutral,Not ,3.0,Probably,ChatGPT gives me the answers i want ,It gives wrong answers at time ,2.0,Maybe so that it can be giving correct answers
Female,Undergraduate,3,Assignment and research,,3,"Yes, partially",,,3.0,,3,Never,Frustation or delight,3.0,Probably,It gives me a clue to my answer,Not giving prompt answer,3.0,More accurate answers
Female,Undergraduate,5,Assignments ,1.0,3,"Yes, partially",,,4.0,,3,Most of the time,Frustration ,3.0,Probably,🤷🏽‍♀️,🤷🏽‍♀️,4.0,🤷🏽‍♀️
Female,Undergraduate,4,assignment,0.0,2,"Yes, partially",,,4.0,,3,Most of the time,frustration,3.0,Probably,is easy to use ,it did not give me a good resaponse ,3.0,the response should be easy to understand 
Male,Undergraduate,4,Research,1.0,4,"No, not at all",,,4.0,,3,Neutral,delight,4.0,Neutral,reponses,it ability to not understand questions sometimes ,4.0,reliable answers
Female,Undergraduate,4,Research,1.0,1,"Yes, partially",,,4.0,,2,Rarely,Confusion,3.0,Neutral,Nothing really,Doesnot give direct answers,3.0,Better UI
Male,Undergraduate,4,"Research, calculation",1.0,1,"Yes, completely",,,5.0,,3,Neutral,No,4.0,Definitely,How it answers question,Nothing,5.0,they should make uploading of pictures better 
Female,Undergraduate,5,"assignments, research, calculation, development and so on",1.0,2,"Yes, completely",,,5.0,,5,Most of the time,"happiness, sadness",4.0,Probably,answers to my questions,nothing,4.0,context awareness 
Male,Undergraduate,3,"Assignments, Research",1.0,4,"Yes, partially",,,3.0,,5,Never,No,4.0,Neutral,Answers questions ,Not giving accurate answer,4.0,Connect with emotions which is not possible 
Male,Undergraduate,4,Assignments and research,1.0,1,"Yes, completely",,,4.0,,4,Neutral,Delight,5.0,Definitely,Efficient responses to prompts,Not always answering to context,4.0,Involving of interactive learning tools 
Female,Secondary School,4,"Research, assignment ",,4,"Yes, partially",,,4.0,,4,Neutral,"Yes, somewhat. ",4.0,Probably,"Availability, consistency and speed ",It's inability to understand some of my prompts correctly and also giving of not giving specific answers at times,4.0,Features like more human interactivity should be added. 
Female,Undergraduate,3,assignment ,1.0,3,"Yes, completely",,,3.0,,3,A;ways,no,3.0,Definitely,quick response ,long answer,2.0,no
Male,Undergraduate,5,"Coding, research and some clarifications.",1.0,3,"Yes, partially",,,3.0,,3,Neutral,"Sometimes delight, other times a bit of frustration.",4.0,Definitely,"Fast and timely response, file reading capabilities, use of previous chats or memory to infer solutions.","At times, unnecessary downtimes.",4.0,Integration capability to IDE or programming environment and capabilities to give correct references to research topics.
Male,Undergraduate,5,"Assignment, curious questions, and Clarification in cloud computing",1.0,2,"Yes, partially",,,3.0,,4,Most of the time,"Yes, but not always",4.0,Definitely,Ability to answer curious questions that are not easy to find online,Doesn't get the question some this and the limit of usage,4.0,Increase limit of usage and to study the user to know how to interact with them better 
Female,Undergraduate,4,assignments,1.0,2,"Yes, partially",,,3.0,,3,Never,sometimes,3.0,Definitely,N/A,N/A,4.0,more accuracy
Female,Undergraduate,3,Research ,,3,"Yes, partially",,,3.0,,4,Neutral,I don't know ,4.0,Probably,User friendly ,Inaccurate answers ,3.0,Improve accuracy 
Male,Undergraduate,4,Research,1.0,5,"Yes, completely",,,4.0,,4,Most of the time,Better understanding,4.0,Definitely,It is user-friendly.,"Nothing, so far.",4.0,Break down complex tasks into simpler ones.
Female,Undergraduate,3,Research and assignment,,4,"Yes, partially",,,4.0,,3,Neutral,no,3.0,Probably,it makes my work easier to understand,sometimes it doesn't get my question ,3.0,i don't have any
Female,Undergraduate,4,"Assignments, interactions, questions ",1.0,1,"Yes, completely",,,4.0,,3,Neutral,Satisfaction ,4.0,Definitely,It’s knowledge expansion ,Nothing ,4.0,Compatibility for all devices
Female,Undergraduate,4,"Assignment, research, interactions",1.0,1,"Yes, completely",,,4.0,,4,Neutral,Satisfaction ,5.0,Definitely,World-wide knowledge based,Nothing,4.0,It should be more compatible for all devices 
Male,Undergraduate,5,research and assignment,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,sometimes confusion,4.0,Probably,giving detailed responses and extensively report,giving different approaches or answers to same questions when redirecting the questions again which confuses sometimes,4.0,"firstly, when user types a question in to the search bar the answers come forth but the answers are not to be responded via the internet connection speed. it is meant to respond immediately after the questions has been typed without the answers coming forth via the intenet connection speed"
Male,Undergraduate,5,Assignments,1.0,1,"Yes, completely",,,5.0,,4,Most of the time,No,4.0,Definitely,How concise it is,The vague,4.0,Nothing 
Female,Undergraduate,3,Research,,4,"Yes, partially",,,4.0,,3,Rarely,no,3.0,Neutral,N/A,N/A,3.0,more humane
Male,Undergraduate,5,Assignment and Research ,1.0,1,"Yes, completely",,,5.0,,5,A;ways,no,5.0,Definitely,N/A,N/A,5.0,no
Female,Undergraduate,2,research,,3,"Yes, partially",,,3.0,,3,Rarely,delight,3.0,Probably,The speed in response,Nothing,3.0,Nothing
Female,Undergraduate,5,Assignments ,1.0,1,"Yes, completely",,,5.0,,3,Neutral,Delight,4.0,Probably,N/A,N/A,4.0,Nothing 
Male,Undergraduate,4,"ASSIGNMENTS,LINE OF CODES, RESEARCH GRAPHIC DESIGNS E.T.C",1.0,1,"Yes, completely",,,4.0,,4,A;ways,not at all,4.0,Definitely,quick and straightforward answers to questions on any area of life,"I need it answers to be more definite, precise .",4.0,Let the answers  no sense of A.I in the answers
Male,Undergraduate,3,Assignment ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Confusion ,4.0,Definitely,It is free,You need to pay,4.0,Make it more free
